date,close,open,high,low,volume
2021-06-25,31594.63,34654.87,35500.00,31300.00,40230904226
2021-06-26,32275.19,31594.62,32711.68,30173.49,38585385521
2021-06-27,34709.23,32267.59,34749.00,32002.21,35511640894
2021-06-28,34493.22,34708.53,35301.43,33864.99,33892523752
2021-06-29,35904.28,34493.22,36675.00,34233.35,37901460044
2021-06-30,35060.00,35906.17,36094.42,34033.00,34059036099
2021-07-01,33516.11,35060.00,35066.54,32703.48,37838957079
2021-07-02,33805.02,33510.93,33972.06,32704.73,38728974942
2021-07-03,34682.16,33805.01,34953.07,33320.00,24383958643
2021-07-04,35284.05,34685.03,35951.00,34390.53,24924307911
2021-07-05,33697.78,35284.06,35290.82,33156.86,26721554282
2021-07-06,34225.73,33697.78,35100.00,33300.00,26501259870
2021-07-07,33878.56,34225.72,35077.46,33770.01,24796027477
2021-07-08,32875.95,33879.50,33934.62,32111.00,29910396946
2021-07-09,33824.26,32875.95,34100.00,32255.24,27436021028
2021-07-10,33515.35,33824.25,34267.14,33027.83,22971873468
2021-07-11,34259.23,33515.35,34607.37,33333.33,20108729370
2021-07-12,33091.10,34259.22,34670.00,32665.00,24321499537
2021-07-13,32734.14,33077.43,33337.61,32201.12,19120856669
2021-07-14,32816.39,32734.14,33125.55,31600.00,21376531210
2021-07-15,31868.68,32815.75,33187.60,31064.77,21300524237
2021-07-16,31388.06,31872.49,32259.16,31025.42,23699476918
2021-07-17,31533.91,31389.57,31949.99,31179.01,18895018942
2021-07-18,31788.25,31533.90,32450.00,31125.60,18787986667
2021-07-19,30842.03,31786.37,31887.82,30429.99,20434789545
2021-07-20,29796.16,30842.04,31052.65,29301.56,23148267245
2021-07-21,32135.19,29796.15,32825.00,29501.02,28203024559
2021-07-22,32287.74,32152.68,32611.84,31729.68,19555230518
2021-07-23,33647.26,32287.75,33647.27,32000.00,22552046192
2021-07-24,34283.01,33647.27,34525.00,33424.70,21664706865
2021-07-25,35428.26,34291.67,35451.04,33888.89,20856685287
2021-07-26,37262.77,35428.25,40593.93,35251.54,51022126212
2021-07-27,39470.48,37262.76,39550.00,36413.26,35097370560
2021-07-28,40035.10,39475.99,40925.56,38803.34,38702404695
2021-07-29,40039.44,40035.10,40644.85,39229.47,27167146027
2021-07-30,42237.95,40039.44,42320.57,38342.00,33072782960
2021-07-31,41495.01,42233.66,42414.61,41064.11,25802845343
2021-08-01,39865.41,41499.00,42605.64,39426.00,26688438115
2021-08-02,39149.59,39859.18,40459.68,38690.00,25595265436
2021-08-03,38191.44,39149.59,39785.30,37627.21,26189830450
2021-08-04,39722.41,38189.40,39965.10,37509.00,25372562724
2021-08-05,40888.74,39718.90,41447.89,37300.00,35185031017
2021-08-06,42869.58,40888.73,43399.26,39876.74,38226483046
2021-08-07,44637.34,42869.59,44750.00,42457.27,40030862141
2021-08-08,43829.14,44628.11,45363.83,43131.97,36302664750
2021-08-09,46285.48,43829.15,46497.42,42821.30,38734079049
2021-08-10,45595.66,46280.00,46718.44,44650.27,33546019517
2021-08-11,45553.49,45601.82,46781.09,45350.74,34319709073
2021-08-12,44422.14,45553.10,46223.95,43714.36,33723620826
2021-08-13,47833.64,44422.15,47953.90,44249.64,31744259539
2021-08-14,47109.65,47833.64,48176.52,46034.93,31211354442
2021-08-15,47014.49,47109.64,47400.00,45525.19,30988958446
2021-08-16,45902.46,47014.38,48076.52,45676.91,32776876610
2021-08-17,44671.58,45903.22,47174.62,44405.39,33451362600
2021-08-18,44707.98,44675.34,46035.27,44216.47,32194123075
2021-08-19,46765.87,44709.10,47088.08,43955.00,37204312299
2021-08-20,49342.40,46769.02,49400.00,46644.95,34706867452
2021-08-21,48867.02,49349.99,49821.92,48285.28,40585205312
2021-08-22,49284.63,48870.21,49526.13,48102.89,25370975378
2021-08-23,49506.50,49284.38,50505.00,49012.84,34305053719
2021-08-24,47682.45,49504.53,49875.90,47600.00,35361168834
